Response ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
R_2axUQY6oModLhGW,No Fellowship,Private,No,>15,20-50,Once a month,5-10% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2s4RKIhunRRRIRD,No Fellowship,Private,No,>15,100-200,Once every other week,< 1% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5qx76P3SIW2HoKU,No Fellowship,Private,Yes,1-5,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7rSsfJHlu33VgNK,No Fellowship,Private,No,10-15,20-50,Once every other week,5-10% of the time,Rarely (less than 50% of the time),Never (0%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_31jSnmT9eP3XJbM,No Fellowship,Academic,No,6-10,20-50,Once a month,1-5% of the time,Never,Never (0%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5nHMF0MbKQw3at0,No Fellowship,Private,No,1-5,20-50,< 1 per month,1-5% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_7QDFjK1UPTH5G6Y,Sleep Medicine & Surgery,Private,No,>15,20-50,Once every other week,< 1% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2IdcSPNpDLlvkcy,No Fellowship,Private,No,>15,20-50,Once a month,< 1% of the time,Always,Never (0%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3OQ0cLUIy7uR7mt,No Fellowship,Government,Yes,1-5,< 20,< 1 per month,< 1% of the time,Never,Always (75-100%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2vCroU8ksZnrT6V,Sleep Medicine & Surgery,Academic,No,10-15,> 200,> 2 per week,1-5% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2zUVH5pZqMAnzOR,No Fellowship,Private,No,10-15,100-200,1-2 per week,< 1% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_417SelO0tFQXSJX,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Private,Yes,>15,20-50,1-2 per week,> 10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1xXBapYlcXiwqGB,No Fellowship,Private,Yes,1-5,20-50,Once every other week,< 1% of the time,Rarely (less than 50% of the time),Never (0%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2jE9VkfrDCGbCxv,No Fellowship,Private,Yes,1-5,< 20,Once a month,5-10% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5VkIkSDrPxPlGsI,Laryngology,Private,No,>15,20-50,Once every other week,1-5% of the time,Often (more than 75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1U9R1UeG6HjTkVy,No Fellowship,Private,Yes,>15,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_72LcjkP38MK7vGh,No Fellowship,Private,No,6-10,20-50,1-2 per week,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2nru3EiypSNNVwk,No Fellowship,Academic,No,>15,100-200,< 1 per month,1-5% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2LcHujXgSQF0VA7,No Fellowship,Private,No,>15,100-200,1-2 per week,1-5% of the time,Often (more than 75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3ATi6xjzC39Qi2J,No Fellowship,Private,Yes,1-5,100-200,> 2 per week,1-5% of the time,Sometimes (50-75% of the time),Often (50-75%),Tongue retraction with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1LkhfdFnCKt6SqT,No Fellowship,Private,No,>15,> 200,1-2 per week,> 10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_6YtxNGDfkL2CSSq,No Fellowship,Private,Yes,1-5,20-50,Once every other week,< 1% of the time,Rarely (less than 50% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_37xRpVh75GzKmcm,Sleep Medicine & Surgery,Private,No,>15,100-200,1-2 per week,< 1% of the time,Always,Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2P4XwNUO2KM5XJA,No Fellowship,Private,No,>15,20-50,1-2 per week,< 1% of the time,Always,Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2FDqfe9nlhB7zIK,No Fellowship,Private,No,>15,100-200,1-2 per week,> 10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2Et3W9GccZOQ6XP,No Fellowship,Private,Yes,1-5,20-50,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1PgxYlq8N5BiU9j,Head and Neck Oncology,Private,No,>15,100-200,Once every other week,< 1% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2Wy5COjmwSChEfD,No Fellowship,Private,No,1-5,100-200,1-2 per week,> 10% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_53ej2cRwvL2fUc4,Facial Plastics & Reconstructive Surgery,Academic,No,>15,100-200,Once every other week,> 10% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2DLVQDObqa658az,No Fellowship,Private,No,>15,20-50,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3aaMPIZLbwyhv0J,No Fellowship,Academic,No,>15,100-200,Once a month,> 10% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_17dhavgJlZ0gv1D,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Private,Yes,1-5,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2dSwknWUxJc8zZA,No Fellowship,Academic,No,>15,100-200,1-2 per week,5-10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1IiuWmS2jniqs72,No Fellowship,Private,Yes,>15,> 200,> 2 per week,> 10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3lMsNn9AZeyNxUE,No Fellowship,Government,No,6-10,20-50,Once a month,< 1% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Open window around cuff without removing,Left cuff in place,45-60 min
R_3mgfJoEkego8SLo,No Fellowship,Private,No,>15,20-50,1-2 per week,5-10% of the time,Often (more than 75% of the time),Never (0%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_32RCqNwxZbys4jr,No Fellowship,Private,No,6-10,< 20,< 1 per month,> 10% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2hygRSfzc3CgFw1,No Fellowship,Government,No,10-15,< 20,Once every other week,5-10% of the time,Always,Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2VN7sgQdy2xe3xn,No Fellowship,Private,No,10-15,100-200,1-2 per week,> 10% of the time,Often (more than 75% of the time),Often (50-75%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_21ohqhW8nfuCpFn,No Fellowship,Private,No,>15,100-200,1-2 per week,1-5% of the time,Never,Never (0%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_6bJ8gDaIgW6YoAF,Facial Plastics & Reconstructive Surgery,Private,No,>15,20-50,Once every other week,5-10% of the time,Never,Never (0%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1kG6YsSvmSJfQyA,No Fellowship,Private,No,>15,20-50,Once every other week,5-10% of the time,Sometimes (50-75% of the time),Often (50-75%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3XT9nEvtVJ0nxDz,No Fellowship,Private,No,6-10,100-200,1-2 per week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1CNAEeHTZgeM9Fi,No Fellowship,Private,Yes,< 1,< 20,< 1 per month,5-10% of the time,Often (more than 75% of the time),Often (50-75%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2BtWMK9BAGEY9g5,No Fellowship,Academic,No,>15,20-50,Once a month,< 1% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Open window around cuff without removing,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_7VR1BRgTN4BMtsp,No Fellowship,Private,No,>15,20-50,Once every other week,1-5% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Removing and replacing the cuff back in the same location,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2sacFfIkWdkejf0,No Fellowship,Academic,No,>15,20-50,Once every other week,5-10% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_7zSUK0xIZcEQCEy,Sleep Medicine & Surgery,Academic,No,>15,> 200,> 2 per week,> 10% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_3Gpqha2NVCpIW9T,No Fellowship,Private,No,>15,100-200,Once every other week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_5szp29djh1yfpZf,No Fellowship,Private,No,>15,< 20,< 1 per month,5-10% of the time,Always,Never (0%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_31sdPGeEET3qiNq,No Fellowship,Government,No,>15,100-200,Once a month,5-10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2rP4VGyT5nqE1vP,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Private,No,>15,20-50,Once every other week,5-10% of the time,Sometimes (50-75% of the time),Never (0%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,45-60 min
R_1bI5gsxHUdIeYM0,No Fellowship,Private,Yes,1-5,20-50,Once a month,5-10% of the time,Sometimes (50-75% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5rlxmnruk3BGAX3,No Fellowship,Academic,Yes,< 1,20-50,Once every other week,< 1% of the time,Always,Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7CD1uHuFsuZU46J,No Fellowship,Private,Yes,1-5,20-50,Once a month,> 10% of the time,Never,Sometimes (26-50%),Tongue retraction with stimulation,Open window around cuff without removing,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1J2fzCkIYVTzBNT,Facial Plastics & Reconstructive Surgery,Private,No,>15,20-50,1-2 per week,1-5% of the time,Often (more than 75% of the time),Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_7qUM2JtiBuyA7VI,Head and Neck Oncology,Private,No,>15,20-50,1-2 per week,1-5% of the time,Often (more than 75% of the time),Never (0%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2dEBz1rQlogEKov,Head and Neck Oncology,Private,No,1-5,< 20,< 1 per month,> 10% of the time,Rarely (less than 50% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1qpUQJd0vPuJzDr,No Fellowship,Private,No,>15,100-200,Once every other week,< 1% of the time,Always,Never (0%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7L7pBCQPhNsTb3F,Head and Neck Oncology,Private,No,10-15,20-50,Once every other week,< 1% of the time,Never,Often (50-75%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Removing and replacing the cuff back in the same location,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_3fwywOa4Q7osTsy,No Fellowship,Private,Yes,1-5,< 20,< 1 per month,1-5% of the time,Often (more than 75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1wdyJlgJPJnNc3f,Sleep Medicine & Surgery,Private,No,>15,100-200,Once every other week,< 1% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3zvWUjXak1cIF0S,No Fellowship,Private,No,>15,100-200,Once every other week,1-5% of the time,Often (more than 75% of the time),Often (50-75%),Tongue retraction with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_6PzC7WOsosB6Qg4,No Fellowship,Private,No,10-15,100-200,Once every other week,5-10% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_1MPZ4VyQ8ponxQc,Head and Neck Oncology,Private,Yes,1-5,< 20,< 1 per month,< 1% of the time,Always,Always (75-100%),Tongue retraction with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_29sKI7riGAuuoFT,No Fellowship,Private,Yes,1-5,20-50,Once a month,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2wsDkQ9uyCVnieN,No Fellowship,Private,No,>15,20-50,Once every other week,1-5% of the time,Sometimes (50-75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Remove and replace the cuff with stimulation,Removing and replacing the cuff back in the same location,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2xUKg2iSEWtUVAl,No Fellowship,Private,No,>15,< 20,Once a month,1-5% of the time,Often (more than 75% of the time),Often (50-75%),Lack of any visible tongue motion with stimulation,Open window around cuff without removing,Removing and replacing the cuff back in the same location,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_2rkBrMwC7yxDaEI,No Fellowship,Private,No,>15,100-200,Once every other week,1-5% of the time,Sometimes (50-75% of the time),Never (0%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff without stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2gW1GHDz7puYG77,Sleep Medicine & Surgery,Private,No,>15,> 200,> 2 per week,5-10% of the time,Never,Sometimes (26-50%),Tongue retraction with stimulation,Open window around cuff without removing,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5dnsz8pCeAhUshA,No Fellowship,Private,No,>15,20-50,Once every other week,5-10% of the time,Always,Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1Hisv0dlsxPCRjY,No Fellowship,Private,No,10-15,100-200,Once every other week,1-5% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Tongue retraction with stimulation,Removing and replacing the cuff back in the same location,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_2dmcfF8LJgoIQxP,Facial Plastics & Reconstructive Surgery,Private,No,6-10,20-50,Once a month,< 1% of the time,Often (more than 75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Removing and replacing the cuff back in the same location,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1UZYczesOwPtvC9,No Fellowship,Private,No,>15,100-200,Once every other week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Removing and replacing the cuff back in the same location,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3azsmuDbDRmEDCD,No Fellowship,Private,Yes,1-5,< 20,Once a month,> 10% of the time,Never,Rarely (1-25%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_7nPAqiku4KscYdm,No Fellowship,Private,No,>15,100-200,Once every other week,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Remove and replace the cuff with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
